, sugar, ginger, garam masala, ghee, curry leaves, jaggery, urad dal,Rice flour, milk, tomato, garam masala powder, mustard oil,Chana dal, sesame seeds, saffron, turmeric, coconut,Whole wheat flour, clarified butter, cardamom, gram flour, mustard seeds, lemon juice, garlic, potato,Urad dal, baking soda,Rice, salt,Wheat flour,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,list of ingred,clust
186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",1,1,30,3,2,Gujarat,6,"['Bottle gourd', ' chana dal', ' cabbage', ' urad dal', ' toor dal']",2
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",1,0,0,4,0,Gujarat,6,"['Whole wheat rava', ' chia seed', ' lemon', ' edible gum', ' litre milk']",11
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",1,0,30,3,1,Gujarat,6,"['Green chilies', ' lemon juice', ' chili powder', ' boiled potatoes']",13
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Kansar,"Wheat flour, cashews, rapeseed oil",1,0,40,0,1,Gujarat,6,"['Wheat flour', ' cashews', ' rapeseed oil']",4
190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keri no ras,"Mango, sugar",1,0,10,2,1,Gujarat,6,"['Mango', ' sugar']",13
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Khakhra,"Whole wheat flour, low fat, bengal gram flour",1,1,40,3,2,Gujarat,6,"['Whole wheat flour', ' low fat', ' bengal gram flour']",2
192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",1,1,45,3,2,Gujarat,6,"['Green chili paste', ' white sesame seeds', ' gram flour', ' curry leaves', ' green chili']",2
193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",1,0,25,3,2,Maharashtra,6,"['Rice flour', ' urad dal', ' wheat flour', ' gram flour', ' turmeric']",13
194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",1,0,40,3,1,Madhya Pradesh,0,"['Cinnamon', ' jaggery', ' clarified butter', ' dry roasted']",10
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koshimbir,"Cucumber, carrot, tomatoes, cilantro",1,0,10,3,1,Maharashtra,6,"['Cucumber', ' carrot', ' tomatoes', ' cilantro']",13
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",1,1,30,1,1,Gujarat,6,"['Rava', ' gram flour', ' lemon juice', ' turmeric', ' fenugreek leaves']",4
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",1,0,45,4,0,Gujarat,6,"['Rose water', ' pistachio', ' badam', ' bengal gram flour', ' saffron']",11
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",1,1,30,1,2,Gujarat,6,"['Bottle gourd', ' whole wheat flour', ' rava', ' sesame seeds', ' bengal gram flour']",4
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",1,0,40,3,2,Gujarat,6,"['Arbi ke patte', ' sesame seeds', ' gur', ' bengal gram flour', ' imli']",13
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",1,1,40,3,1,Maharashtra,6,"['Pav bhaji masala', ' gobi', ' potatoes', ' green peas', ' dinner rolls']",2
201,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",1,0,30,3,1,Maharashtra,6,"['Aloo', ' urad dal', ' mustard', ' ginger', ' curry leaves']",13
202,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",1,2,30,3,2,Maharashtra,6,"['Raw peanuts', ' sabudana', ' lemon', ' avocado oil', ' curry leaves', ' green chili']",2
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",1,1,30,3,1,Gujarat,6,"['Khaman', ' pomegranate', ' sev', ' powdered sugar', ' garlic']",2
